gemeente;soort;jaar;verkiezing;"verkiezing-
partij";p;partij;w;sb;stemmen;opmerking
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;5;42;98;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;5;42;113;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;5;42;39;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;5;42;91;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;5;42;54;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;5;42;16;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;5;42;102;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;5;42;14;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;5;43;156;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;5;43;101;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;5;43;140;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;5;43;66;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;5;43;79;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;5;43;76;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;5;43;20;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;5;43;36;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;5;43;32;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;5;44;227;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;5;44;150;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;5;44;94;
